page	preview_corto
12	En consecuencia, esta explotación incluye tanto a los emisores y receptores de facturas (q
12	Esto permite construir indicadores con más de 1,2 millones de empresas, es decir, la total
12	Incluso tras el impacto de la dana a finales de octubre, las ventas pudieron remontar rápi
12	Todo lo dicho anteriormente se resume en el Gráfico 1.7 que muestra la evolución trimestra
12	En el informe del año pasado ya se advertía de los signos de recuperación que se apreciaba
13	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 11 En lo que se refiere a los precios,
13	No obstante, si se analiza con más detalle lo ocurrido en el transcurso del año, se puede 
13	En el caso del IPC, la desaceleración, en media del año, fue de 7 décimas (del 3,5% al 2,8
13	Ahora bien, si se atiende al comportamiento dentro del año, se pasó de una primera parte e
13	En el transcurso del año, sin embargo, lo que se observa es una progresiva reducción de la
13	El perfil de ambos indicadores está determinado, como se ha señalado y a similitud de los 
13	Por su parte, el Gráfico 1.10 con los índices de los precios de la energía, muestra el ori
13	En el empleo el año 2024 se caracterizó, en general, por una suave moderación del crecimie
13	Como se ve en el caso de los afiliados, en los tres primeros trimestres se prolongó la sua
14	moderación que venía de 2023. Solo en el último trimestre se vio una pequeña mejora. En lo
14	En el empleo asalariado (Gráfico 1.12) la desaceleración habría sido más intensa y sin mej
14	Finalmente hay que hacer mención a la generación del valor añadido en el proceso de produc
14	Esta información permite analizar, con detalle sectorial y periodicidad trimestral, la gen
14	Como se puede ver, en 2024 el valor añadido siguió una pauta de desaceleración similar a l
14	El reparto de este valor añadido entre salarios y beneficios se muestra en el Gráfico 1.14
14	En las empresas personales, en cambio, se mantiene una tendencia creciente prácticamente e
15	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 13 La base imponible agregada de los p
15	De una parte, la positiva evolución de la actividad a lo largo del año, como fueron mostra
15	De otra, la continuidad de la moderación de los precios iniciada en 2023, tras las fuertes
15	Aun así, se mantiene la brecha entre el crecimiento de las bases y el del indicador, como 
15	Prácticamente todo el mayor aumento de la base imponible agregada se debe al incremento de
15	En suma, las bases sobre las rentas se incrementaron un 8,9%, casi un punto más que el año
15	El valor de los consumos sujetos a II.EE. volvió a reducirse, aunque con menos intensidad 
16	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 14 Semana Santa en 2024, hecho que afe
16	Entre julio y diciembre, en cambio, el crecimiento de las bases alcanzó el 7,7%, con mejor
16	Se estima que el tipo medio efectivo sobre la renta y el gasto creció un 2,4% en 2024, has
16	La subida de los tipos procede, principalmente, del aumento de los tipos asociados a las r
16	Los impuestos devengados crecieron en 2024 un 10,1% (Cuadro 1.4), seis décimas por encima 
16	Sin las cuotas diferenciales estimadas de IRPF y Sociedades, el incremento esperado para l
16	El incremento de los ingresos tributarios fue inferior al de los impuestos devengados, un 
16	Además, hay que tener en cuenta a la hora de analizar la evolución de los ingresos el impo
17	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 15 Analizando la evolución de bases e 
17	Todos los componentes aumentaron, si bien destacó el dinamismo de las rentas de capital (2
17	El IRPF devengado creció un 11,1% en 2024, resultado del aumento de las rentas brutas de l
17	Efectivamente los cambios normativos tuvieron un notable impacto en el IRPF en 2024: reduj
17	En 2023 una medida similar tuvo un coste de 1.726 millones, aunque en la declaración anual
17	La parte principal de esa cifra (cerca de 1.000 millones) son los menores ingresos y mayor
17	Y, en tercer lugar, hay que señalar los 302 millones que dejaron de ingresarse como consec
17	En consecuencia, los ingresos en el IRPF crecieron un 7,6%, tasa que se elevaría hasta el 
18	En el Impuesto sobre Sociedades la base imponible consolidada creció un 10,8% (Cuadro 3.1)
18	El buen comportamiento de la base imponible en los últimos años ha hecho que desde 2023 se
18	La evolución de la base imponible es bastante pareja a la de los beneficios de las socieda
18	El Impuesto sobre Sociedades devengado creció aproximadamente lo mismo que la base consoli
18	El descenso del tipo es mayor (-2,7%) si se calcula sobre los beneficios de las empresas s
18	Los ingresos por el Impuesto sobre Sociedades aumentaron un 11,5% (Cuadro 3.1), alcanzando
18	El primero fue el impacto producido por la sentencia relativa al RDL 3/2016 que se tradujo
18	El segundo fue el efecto negativo sobre los pagos fraccionados de la medida que estuvo vig
19	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 17 2023 se pueden restar, a partes igu
19	Por último, en la declaración anual de 2023 tuvieron efecto, por primera vez, dos cambios 
19	Todas estas medidas con impacto negativo se vieron parcialmente compensadas por el menor i
19	En lo que se refiere al IVA, el gasto final sujeto a IVA creció un 5,7% en 2024, 1,7 punto
19	La ralentización del gasto de los hogares fue de una intensidad similar a la del agregado 
19	Un rasgo destacado del ejercicio 2024 fue el escalonado incremento de tipos que se produjo
19	Esto explica que el tipo efectivo medio creciera un 1,4%, tras los descensos observados lo
19	El IVA devengado neto experimentó un aumento similar.  Los ingresos por IVA crecieron un 7
20	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 18 Sin embargo, la aproximación al tip
20	n 2025).
20	En cambio, la rebaja de los tipos en el último tramo de 2023 se notó en los primeros meses
20	El valor de los consumos sujetos a los Impuestos Especiales volvió a reducirse, aunque con
20	El comportamiento de los consumos, con crecimientos también en los componentes de mayor pe
20	En 2024 los ingresos por Impuestos Especiales crecieron un 6,6%. Sin los ingresos derivado
20	La principal figura de este grupo de impuestos, el Impuesto sobre Hidrocarburos (Cuadro 5.
20	Los ingresos en el Impuesto sobre Labores del Tabaco aumentaron un 3,2% (Cuadro 5.6), en u
20	El Impuesto sobre la Electricidad (Cuadro 5.7) recuperó gran parte de su peso en la recaud
20	En los impuestos sobre el alcohol los ingresos crecieron un escaso 1% (-7,2% en 2023). En 
20	En el segundo año del Impuesto sobre Envases de Plástico No Reutilizables los ingresos alc
20	Si se analizan los ingresos brutos y teniendo en cuenta que en 2023 hubo un mes menos de d
20	En cuanto al resto de figuras, en el Impuesto sobre la Renta de No Residentes (Cuadro 6.1)
20	Estos están vinculados, principalmente, a las retenciones sobre rendimientos del capital y
20	El ingreso del resto de los tributos del capítulo I aumentó un 28,5% gracias a la recupera
21	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 19 mediados de 2021 dentro de las medi
21	En cuanto a lo segundo, la disminución de los ingresos tuvo que ver con los cambios en el 
21	En el resto del capítulo II cabe destacar el fuerte incremento en el Impuesto sobre Primas
21	minados Servicios Digitales (en este caso también cuentan los ajustes forales, aunque, inc
21	En el capítulo III de Tasas y otros ingresos (Cuadro 1.6 y Cuadro 6.6) la recaudación crec
21	Por último, en los que se refiere a la comparación de los ingresos tributarios y los ingre
22	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 20 2. EL IMPUESTO SOBRE LA RENTA DE L
22	Los ingresos por el IRPF alcanzaron los 129.408 millones en 2024, un 7,6% más que el año a
22	Sin estos impactos, los ingresos habrían aumentado un 10,2%, cifra coherente con un crecim
22	A estos factores se añade el fuerte crecimiento de las rentas asociadas al capital mobilia
22	Las rentas brutas de los hogares crecieron un 8,5% en 2024, superando en más de un punto l
22	La mejora con respecto a 2023 se debió al fuerte dinamismo de las rentas de capital mobili
22	Las rentas del trabajo, principal componente de las rentas de los hogares, crecieron un 7,
22	Los salarios, que en los últimos tres años han mantenido un peso estable sobre las rentas 
22	El año se cerró con un incremento del 9,3%. En las pymes la masa salarial creció un  INFOR
23	La principal causa de esta evolución fue la ralentización en la creación de empleo y, en e
23	La masa de salarios del sector público, por el contrario, creció más que en 2023, un 5,8% 
23	La masa de pensiones públicas creció un 7%, por debajo del 9,2% de un año antes, por el de
23	Las pensiones privadas aumentaron, tras tres años de descensos, aunque este incremento no 
23	En el Gráfico 2.4 se comparan las evoluciones del salario y pensiones medias y de los prec
23	Hay que recordar que el incremento de la pensión media no sólo recoge la actualización anu
24	Por último, las prestaciones por desempleo volvieron a aumentar en 2024, superando la tasa
24	Se estima que el conjunto de las rentas de capital de los hogares creció un 22,6% en 2024,
24	Tras estos aumentos, estas rentas suponían en 2024 en torno al 34% de las rentas totales d
24	En 2024 supusieron 30.767 millones en la renta de las familias, el máximo histórico de la 
24	Para los hogares esto supuso la drástica disminución de las rentas procedentes de los inte
24	A partir de 2015 el papel de los dividendos fue siendo cada vez mayor, de forma que en el 
24	También para las ganancias patrimoniales se espera un fuerte avance, superior al 22%. Este
24	Por otro lado, para las ganancias no sujetas a retención se prevé un incremento del 17%. E
25	Por su parte, las rentas derivadas del arrendamiento de inmuebles crecieron un 6,5%, tasa 
25	Para finalizar, se estima que las rentas de las empresas personales crecieron un 9% en 202
25	El tipo efectivo sobre las rentas brutas de los hogares aumentó un 2,4% (0,6% en 2023, Cua
25	Como en años anteriores, la subida del tipo se debe a las subidas de las retribuciones sal
25	El IRPF devengado creció un 11,1% en 2024, encadenando cuatro años de crecimientos elevado
25	Sin la cuota diferencial, el IRPF devengado se incrementó un 10,5% en 2024, resultado del 
25	La principal razón de esta divergencia se encuentra en que estos últimos incluyen la estim
25	Los ingresos sin incluir el resultado de la declaración anual aumentaron un 10%, tasa más 
26	Los ingresos por retenciones del trabajo y actividades económicas crecieron en 2024 un 9%,
26	El crecimiento de los ingresos por retenciones del trabajo y actividades económicas en el 
26	Las subidas salariales, en cambio, si bien se mantuvieron en el entorno del 5% fueron algo
26	No obstante, hay que tener en cuenta el impacto de la modificación de la reducción por ren
26	En las AA.PP. los ingresos por retenciones del trabajo crecieron un 9,7%, casi tres puntos
26	Eso llevó a un incremento de las retenciones en el entorno del 19% en 2023. En 2024, salvo
26	En la parte de los salarios de los empleados públicos, las retenciones crecieron más del 8
27	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 25 De nuevo en 2024 volvieron a crece
27	También las retenciones derivadas de las ganancias patrimoniales en fondos de inversión pr
27	Hay que recordar la irregularidad que caracteriza a estos ingresos (en 2023 los ingresos d
27	Por su parte, las retenciones por arrendamientos (fundamentalmente de locales) aumentaron 
27	En lo que se refiere a los beneficios de las empresas personales, los pagos fraccionados c
27	Los ingresos asociados al resultado de la declaración anual se redujeron un 1,5%, mientras
27	Desde el punto de vista de los rendimientos declarados, los resultados negativos se entien
27	Pero esto no explica la mayor parte del descenso que tiene tres causas principales.
27	La de mayor impacto es la derivada de la sentencia favorable a los mutualistas que supuso,
27	A esto hay que añadir las reducciones en el tramo autonómico del impuesto (menores que en 
27	Por último, hay que señalar que en 2022 se rompió de nuevo el que solía ser el patrón habi
27	Es por ello que las devoluciones por este concepto en 2023 fueron unos 230 millones inferi
28	En el Impuesto sobre Sociedades la recaudación creció un 11,5% hasta los 39.096 millones (
28	Se estima que los beneficios de las sociedades (sin incluir las gravadas a tipos del 0% y 
28	La información conocida de los beneficios declarados por las Grandes Empresas y grupos en 
28	Consecuencia del aumento de los beneficios fue el crecimiento del 11,1% en los pagos fracc
28	Entre las dos figuras sumaron un incremento respecto al año anterior de más de 800 millone
28	Por un lado, los cambios normativos que se aprobaron en los Presupuestos de 2023 y que tuv
28	Por otro, la sentencia en contra del RDL 3/2016 afectó a la recaudación procedente de la c
28	La base imponible consolidada del Impuesto sobre Sociedades creció un 10,8%, enlazando así
29	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 27 imponible a estos beneficios deriv
29	Tras el nuevo avance de la base imponible, se vuelve a registrar otro máximo histórico, al
29	El tipo efectivo sobre la base imponible se redujo ligeramente en 2024 (-0,4%) tras caer u
29	La razón de esta exclusión es el irregular comportamiento de los beneficios de estas empre
29	Este hecho tiene mucha repercusión sobre la variación de los beneficios (Gráfico 3.2), per
29	El Impuesto sobre Sociedades devengado aumentó un 10,4% en 2024 (13,2% sin cuota diferenci
29	De hecho, el pago mínimo se incrementó por encima del 21% en el caso de los grupos y casi 
30	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 28  El Gráfico 3.4 ilustra la relació
30	Por ello, el aumento del peso del pago mínimo en 2024 es previsible que implique un mayor 
30	Los ingresos en términos de caja crecieron un 11,5% (Cuadro 3.1), impulsados por los bueno
30	El resultado neto de la declaración anual asociada a la liquidación del ejercicio 2023 res
30	Como ya se ha comentado, este resultado se debió a varios factores: los cambios normativos
31	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 29  4. EL IMPUESTO SOBRE EL VALOR AÑA
31	La diferencia entre una y otra cifra se explica porque el año 2024 se caracterizó por el f
31	En el caso de la electricidad y el gas, la paulatina vuelta al tipo general supuso unos in
31	En la alimentación, en cambio, todavía el impacto fue negativo dado que se trasladó a los 
31	En 2024 el gasto final sujeto a IVA creció un 5,7%, 1,7 puntos menos que en 2023 (Cuadro 4
31	Esta desaceleración anual esconde, sin embargo, una evolución con una clara tendencia crec
31	El Gráfico 4.3 muestra la incidencia del ciclo inflacionario iniciado en 2021 sobre el gas
31	Sin embargo, a partir de 2021, la evolución del gasto corriente se ha ido distanciando de 
32	No obstante, este fuerte impacto en el gasto corriente no se traslada a los ingresos ya qu
32	bre los ingresos quedó reducido o, incluso, como es el caso de la alimentación básica, anu
32	Desde el punto de vista de los componentes, el gasto corriente y de capital de las Adminis
32	Se estima que el tipo efectivo del IVA aumentó un 1,4% (Gráfico 4.5 y Cuadro 4.1) como con
32	Estos bienes y servicios estaban gravados a un tipo del 5% desde mediados de 2022, y pasar
32	En los productos básicos de alimentación se pasó del 0% al 2,5% y del 5% al 7,5% en pastas
32	Sin embargo, al producirse el incremento de estos tipos en octubre, el impacto en el impue
33	El Cuadro 8.7 recoge la descomposición del gasto sujeto por tipos. El peso del gasto a tip
33	En 2020 aumentó hasta el 58,7%, y también creció, si bien en menor medida, el peso del gas
33	En 2021 se revertió parcialmente esa situación, volviendo el gasto a tipo general a un pes
33	Desde 2022, sin embargo, el porcentaje del gasto a tipo general ha estado por debajo del n
33	El IVA devengado aumentó un 7,3%, en torno a un punto y medio más que el gasto sujeto (Cua
33	Los ingresos en términos de caja crecieron un 7,9%, con un aumento de los ingresos brutos 
33	Esto se explica por la tendencia creciente que siguió el IVA bruto devengado según avanzar
33	Por tipo de contribuyente, el crecimiento del IVA bruto en caja fue mayor en las declaraci
34	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 32 (antes bajadas) también distorsion
34	La diferencia entre el aumento de los ingresos brutos totales y los ingresos por autoliqui
34	Las devoluciones realizadas de IVA cayeron un 0,8% en 2024. Las devoluciones mensuales se 
34	Respecto a estas últimas, aumentaron un 2,9%, pero variaron de forma muy desequilibrada en
34	Ahora bien, por la propia dinámica de la gestión, el impacto de esta recuperación no llegó
34	En el caso de las devoluciones anuales, volvieron a aumentar por cuarto año consecutivo, u
34	Por último, también cayeron las devoluciones vinculadas a los ajustes forales (-2,9%, incl
35	Los ingresos por Impuestos Especiales aumentaron un 6,6% en 2024, alcanzando una recaudaci
35	Sin los ingresos adicionales derivados de la recuperación del tipo en esta figura (Cuadro 
35	Salvo en el carbón y en los envases de plástico no reutilizables, el resto de las figuras 
35	Los primeros se incrementaron en un 2,1%, gracias al mayor consumo, mientras que el aument
35	Este comportamiento se explica de nuevo por la caída del valor de los consumos en los comp
35	En 2024 se incrementó el consumo (Cuadro 5.1) de gasolinas, gasóleos y biocarburantes (3,0
35	Por otro lado, disminuyeron los consumos de alcohol (-2,6%) y cerveza (-0,7%), en un conte
35	Los precios energéticos mantuvieron en 2024 la tendencia decreciente iniciada el año anter
36	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 34 de los precios de gasolinas y gasó
36	A pesar de las caídas de estos dos últimos años, el intenso ciclo inflacionista sufrido de
36	Los precios de las bebidas alcohólicas registraron un leve incremento del 0,2% (0,4% antes
36	En las labores del tabaco, el precio medio de venta al público aumentó un 4,8% (7,1% antes
36	En lo que se refiere a los tipos efectivos, cabe señalar que el único cambio normativo en 
36	No obstante, como se puede apreciar en el Cuadro 5.1, se han producido otras variaciones e
36	También aumentó, si bien en menor medida (0,3%), el tipo efectivo de gasolinas, gasóleos y
36	Esta evolución también se observó en el tipo efectivo por litro de cerveza, que aumentó li
37	Los Impuestos Especiales devengados se incrementaron un 8,2% en 2024 (Cuadro 5.1). El crec
37	La diferencia se explica, principalmente, por dos motivos: porque en la caja de 2024 sólo 
37	uy elevado respecto al mismo mes del año anterior, se ingresó en 2025.
37	Los ingresos en el Impuesto sobre Hidrocarburos aumentaron un 2,1% (Cuadro 5.5), tras el 0
37	La progresiva reducción del parque de vehículos de gasóleo está detrás de esta evolución d
37	En el Impuesto sobre Labores del Tabaco la recaudación aumentó un 3,2% (Cuadro 5.6) hasta 
37	El crecimiento del impuesto devengado fue mayor en las otras labores (8,3%), que en los ci
37	Conviene señalar que hasta septiembre el consumo se había reducido un 0,8%, concentrándose
37	Los ingresos en el Impuesto sobre la Electricidad se elevaron hasta los 1.112 millones de 
38	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 36 mitad del año). Este retorno a la 
38	En 2024 los ingresos en el Impuesto sobre el Alcohol y Bebidas Derivadas y en el Impuesto 
38	En el segundo año del Impuesto sobre Envases de Plástico No Reutilizables los ingresos alc
38	Estas devoluciones se empezaron a presentar y a realizar en 2023 avanzado el año y, por lo
38	Si en lugar de analizar los ingresos netos, se atiende a los brutos (Cuadro 7.1), teniendo
40	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 38  6. OTROS IMPUESTOS  La recaudación
40	Las notables aportaciones del Impuesto sobre la Renta de los no Residentes, del Impuesto s
40	Los ingresos en el Impuesto sobre la Renta de los No Residentes (Cuadro 6.1) aumentaron un
40	También incidió sobre la recaudación neta el menor volumen de devoluciones realizadas en c
40	Otro grupo de impuestos que contribuyeron de forma positiva al aumento de la recaudación f
40	Este impuesto estuvo suspendido desde mediados de 2021 dentro de las medidas para mitigar 
40	Los otros ingresos del Capítulo I se contrajeron un 60,3%, por la escasa recaudación del I
41	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 39 parte de los ingresos que en 2023 h
41	En el resto de ingresos de este grupo, básicamente el Impuesto sobre Transmisiones Patrimo
41	En el Capítulo II los ingresos por el Impuesto sobre Primas de Seguros, una de las figuras
41	Por el contrario, los ingresos por los Impuestos sobre Tráfico Exterior, la otra figura de
41	La recaudación por el Impuesto sobre Transacciones Financieras aumentó un 25,5%, y la deri
41	Parte de estos elevados incrementos tienen su origen en las menores devoluciones asociadas
41	Así, en el caso del Impuesto sobre Transacciones Financieras, en 2024 se devolvieron 17 mi
41	Los ingresos del Capítulo III ascendieron un 8,4%, superando por primera vez desde 2015 lo
41	En cuanto al resto del Capítulo III, sus ingresos crecieron un 8,7%, con evoluciones posit
42	El Cuadro 8.2 del Informe Anual de Recaudación Tributaria recoge la evolución de las princ
42	Desde la edición de 2022 el cuadro se amplió, intentando completar la información existent
42	En el conjunto de Gráficos 1 se presenta la evolución de las rentas brutas declaradas y de
43	Estas rentas, con la salvedad del periodo 2005 a 2007 en el que las ganancias patrimoniale
43	El repunte en el ejercicio 2020 está condicionado por los efectos que la pandemia tuvo sob
43	alarios, pensiones y otras prestaciones, entre ellas las transferencias derivadas de los E
43	Cabe destacar el papel cada vez más relevante de las rentas de capital inmobiliario, frena
43	A partir de 2021, las rentas asociadas al capital mobiliario han ido ganando algo más de p
43	Los Gráficos 2 y 3 presentan el proceso de liquidación del impuesto desde las rentas bruta
43	También es patente la caída de 2020 y que en 2021 ya se había superado el nivel previo a l
43	En 2003 y 2007, entre otras medidas, se redujeron los tramos de la tarifa y el tipo margin
43	También es visible el efecto en la cuota íntegra de 2023, por un lado, de las reducciones 
43	A partir de la reforma de 2007 el peso de los mínimos personales y familiares sobre el tot
44	Las sucesivas reformas del impuesto (1999, 2003, 2007, 2015), así como otras medidas (por 
44	Las reformas de 1999 y 2003 supusieron una importante bajada en el tipo medio sobre las re
44	En 2007, en cambio, el tipo medio sobre las rentas permaneció relativamente estable gracia
44	Las medidas que aumentaban la tributación de las rentas más altas desde el ejercicio 2021 
44	Por último, resulta interesante observar la evolución de la cuota diferencial. Como se ve 
45	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 43 Gráficos 6, desde 1995 hasta 2015,
45	La positiva evolución de las rentas no sujetas a retención y que son declaradas en la liqu
45	Por otra parte, el creciente peso que desde 2015 tienen las deducciones por maternidad y f
46	La Agencia Tributaria obtiene la información sobre los salarios de la declaración anual in
46	La información es exhaustiva (están obligados a su presentación todos los empleadores) e i
46	En este sentido, en otros lugares se explica cómo se explotan estos datos y cómo se integr
46	Prácticamente la única limitación a la que se enfrenta la información del modelo 190 es la
46	Esto condiciona la forma de la distribución salarial que se deduce de los datos (se puede 
46	Con el fin de corregir este último problema, en la estadística Mercado de trabajo y pensio
46	En los gráficos siguientes se ve la diferencia en nivel y tasa de variación entre el enfoq
46	El problema es que esta corrección solo está disponible desde 2019. Como solución para ten
46	Se estima un nivel de empleo asalariado, basado principalmente en las cifras de afiliación
47	En el gráfico se compara la evolución del salario medio obtenido directamente del modelo 1
47	Como ya se veía en el primer gráfico, la diferencia entre una versión y otra del modelo 19
47	rable.  Este enfoque tiene la limitación de que se realiza a nivel agregado. Se podría des
47	Sin embargo, ahí se choca con la dificultad de encajar series de origen distinto sin tener
47	Es lo que se hace en el Observatorio de Márgenes Empresariales (OME) en el que el empleo s
47	Esto da una perspectiva adicional: al dividir el salario medio por los precios de venta, r
49	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 47 NOTA INFORMATIVA 3: EL CRECIENTE P
49	La evolución de las pensiones y su impacto en las retenciones del trabajo y actividades ec
49	Las retenciones ligadas a esas pensiones han ido ganando peso dentro del conjunto del impu
49	Hay que hacer esta distinción porque, como se verá al final de esta nota, el impuesto fina
49	Toda la información relativa a las pensiones se puede encontrar en los Cuadros 2.2 y 2.3 d
49	Un análisis más detallado se hace en la estadística Mercado de trabajo y pensiones en las 
49	En los gráficos siguientes se muestran los pesos que tienen la masa de pensiones y sus ret
50	La conclusión es que la masa de pensiones se ha mantenido en los últimos años alrededor de
50	El mantenimiento del peso en rentas al mismo tiempo que una importancia creciente de las r
50	Como se aprecia en el gráfico, la tendencia creciente se ha acentuado en los tres últimos 
50	El incremento de la pensión media se presenta en el siguiente gráfico junto con la revalor
51	Habitualmente se piensa que lo que sube la pensión media es la subida anual anunciada para
51	La pensión media (zona roja) sube más por dos razones básicas: una, porque las pensiones m
51	El gráfico que se muestra a continuación refleja ese diferencial entre las altas y las baj
51	Hay que insistir en que el incremento de la pensión media es un cálculo agregado. La mayor
51	Otra que haya comenzado su vida como pensionista en 2015 tendrá una pensión un 24,6% más a
52	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 50 pensión media desde 2010 hasta 202
52	Conviene señalar también que en toda la explicación anterior no se ha tenido en cuenta el 
52	Como se puede ver en el informe anual, esto supuso en el ejercicio 2023, liquidado en 2024
52	Por último, y volviendo al comienzo de la nota, el análisis se ha centrado en el peso de l
